"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24000","_13_AddExistingMaterial","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:42:27 UTC 2026","","Acumatica","Acumatica",""
"","19000","_10_UpdateManufacturerPart","","Mon Aug 03 07:18:04 UTC 2026","passed","Mon Aug 03 07:18:23 UTC 2026","","WindchillTestPlan","WindchillTestPlan",""
"","18000","_04_CreateEnggPart","","Mon Aug 03 06:35:09 UTC 2026","passed","Mon Aug 03 06:35:27 UTC 2026","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
"","24000","_04_UpdateExistingItem","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:07 UTC 2026","","Syteline","Syteline",""
"","19000","_12_InsertMaterialFromSearchIntoOperation","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:02 UTC 2026","","Syteline","Syteline",""
"","17000","_17_UpdateNonStockItem","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:42:20 UTC 2026","","Acumatica","Acumatica",""
"","15000","_22_AddRoutingHeader","","Mon Aug 03 06:56:38 UTC 2026","passed","Mon Aug 03 06:56:53 UTC 2026","","IFS_Apps10_InvPart","IFS_Apps10_InvPart",""
"","24000","_05_AddNewOperation","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:07 UTC 2026","","Syteline","Syteline",""
"","67000","_01_SetUp","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:43:10 UTC 2026","","Acumatica","Acumatica",""
"","15000","_06_AddNewRevisionToPart","","Mon Aug 03 06:35:09 UTC 2026","passed","Mon Aug 03 06:35:24 UTC 2026","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
